user_id,recency,frequency,monetary
231098663,133,2,19.53
231105826,92,16,59.879999999999995
231106257,32,43,268.73
231107645,2,43,184.36
231109713,2,44,405.94
231115019,98,4,24.29
231125819,129,2,11.58
231131469,33,24,110.18
231139442,69,4,16.12
231150651,139,11,42.21
231151094,89,6,27.919999999999998
231151917,1,1,75.25
231161486,90,5,20.68
231163556,97,5,58.4
231166811,32,11,24.28
231183945,80,2,8.49
231195163,66,4,30.26
231200003,149,3,20.48
231204997,17,13,58.519999999999996
231210226,147,4,6.41
231212683,114,9,60.7
231224387,12,13,103.96
231238682,4,2,8.73
231241114,22,38,125.77
231263320,134,14,69.91
231273799,32,12,83.49000000000001
231278865,18,5,11.450000000000001
231282624,13,8,39.14
231283993,47,11,37.51
231287907,63,1,12.54
231292324,52,1,38.08
231301637,101,5,223.89000000000001
231302520,44,2,13.309999999999999
231306136,67,3,15.870000000000001
231327981,8,47,255.75
231332907,31,12,100.86
231343945,99,6,78.86
231344734,2,26,148.14000000000001
231350148,98,5,62.3
231350942,119,2,38.74
231351358,119,3,27.6
231352630,26,33,213.35
231363422,3,87,548.29
231373184,18,14,51.019999999999996
231380924,4,6,93.65
231391038,123,8,45.44
231393837,27,1,11.9
231397557,42,3,33.26
231401013,52,5,39.28
231401752,66,3,20.8
231405337,58,4,25.81
231409600,94,6,14.590000000000002
231412385,114,18,111.36
231413698,84,1,15.71
231442402,35,17,80.14
231450367,93,13,50.09
231458576,3,44,161.32
231464025,50,19,86.98
231466227,42,33,269.1
231475474,114,5,45.24
231475653,40,14,51.4
231485969,131,2,15.87
231486172,93,5,15.799999999999999
231489517,97,7,31.15
231492881,97,10,33.41
231492996,92,7,20.47
231532572,98,15,64.92
231538103,20,6,9.41
231541482,71,2,48.58
231542726,92,18,51.39
231551602,5,2,9.12
231567878,125,1,10.63
231579858,32,11,56.849999999999994
231580436,7,7,28.52
231591575,5,4,20.87
231637757,44,1,26.95
231643937,83,19,152.87
231644022,66,3,32.39
231647424,120,4,26.44
231651354,9,37,266.05
231653159,96,9,84.83
231662009,79,7,40.91
231662173,47,35,131.1
231664815,19,1,20.62
231669450,93,15,63.68
231673551,4,1,2.81
231677786,38,29,108.60000000000001
231678366,115,2,11.11
231684246,81,9,85.53999999999999
231689300,4,55,536.04
231690045,50,9,135.34
231690364,4,62,234.65
231693796,11,8,25.44
231699804,135,5,8.26
231702402,53,13,105.44
231719601,12,41,333.77
231745893,46,15,56.129999999999995
231749408,24,9,29.97
231761005,90,8,38.61
231765394,11,17,78.16
231774003,74,8,95.82
231777742,131,5,14.69
231781674,3,12,76.55
231788147,4,25,224.15
231793656,66,4,15.2
231798255,33,2,17.3
231805890,90,10,37.03
231818489,134,7,22.68
231819810,33,6,26.83
231820031,12,51,396.83
231823042,1,58,229.09
231823133,31,4,36.629999999999995
231828962,141,3,25.869999999999997
231835422,2,11,42.050000000000004
231837513,1,45,225.58
231849089,28,55,231.15
231850412,10,16,72.02
231859849,91,13,252.09
231867094,96,9,56.89
231871195,0,24,78.13
231879150,136,4,9.54
231883825,48,19,46.67
231883951,16,9,40.32
231884127,101,8,12.93
231886021,24,31,104.56
231890271,88,3,17.3
231891565,22,2,14.61
231892300,126,6,32.96
231898927,127,9,37.18
231905221,38,3,39.21
231910771,5,13,56.04
231912823,103,5,13.37
231919128,114,4,29.810000000000002
231924420,32,1,16.67
231949596,79,7,40.95
231961259,85,4,40.879999999999995
231961733,75,2,37.3
231961872,3,34,97.47
231962453,102,4,14.450000000000001
231981700,117,1,25.24
231982497,114,2,13.02
231984909,117,1,10.95
231998917,118,23,76.92
232004262,87,6,103.51
232023638,53,6,25.39
232032524,31,1,19.37
232037053,93,49,137.34
232043056,4,29,131.21
232047705,41,10,71.9
232054981,71,12,37.07
232056238,42,14,85.43
232072294,73,2,10.0
232072842,5,31,192.88
232081367,40,40,211.66
232083594,4,27,129.46
232096733,10,24,177.28
232104776,33,6,38.63
232129705,137,4,16.490000000000002
232138229,52,14,39.56
232144831,114,10,59.62
232151975,45,74,490.40000000000003
232167330,1,14,82.03
232191231,99,1,22.46
232205935,79,2,44.45
232218841,101,5,22.740000000000002
232238761,69,24,114.4
232262134,98,7,49.96
232272449,107,1,12.68
232273004,9,47,235.22
232285066,70,3,12.030000000000001
232351101,82,3,11.09
232355126,84,2,29.36
232389438,128,4,24.85
232441957,34,1,66.67
232442462,55,5,8.9
232443262,36,11,64.8
232454012,32,2,49.36
232460230,4,9,55.62
232464734,131,9,124.42
232468493,14,8,58.66
232474402,4,6,36.19
232501653,16,48,336.66
232539128,20,41,168.21
232558200,108,7,21.69
232568838,26,3,23.38
232572214,133,4,15.87
